iter	Passed	Remaining
570	9909	7444
571	9923	7425
572	9942	7409
573	9960	7392
574	9979	7376
575	9997	7359
576	10012	7339
577	10026	7320
578	10040	7300
579	10052	7279
580	10066	7259
581	10080	7240
582	10095	7220
583	10109	7201
584	10123	7181
585	10135	7160
586	10147	7139
587	10162	7120
588	10175	7100
589	10191	7081
590	10207	7064
591	10226	7047
592	10244	7031
593	10262	7014
594	10280	6997
595	10307	6986
596	10325	6969
597	10341	6952
598	10357	6934
599	10370	6913
600	10383	6893
601	10395	6872
602	10409	6853
603	10423	6833
604	10438	6815
605	10453	6796
606	10466	6776
607	10478	6755
608	10491	6736
609	10504	6715
610	10516	6695
611	10528	6674
612	10540	6654
613	10554	6634
614	10567	6615
615	10579	6595
616	10596	6577
617	10611	6559
618	10629	6542
619	10646	6525
620	10665	6509
621	10679	6490
622	10694	6471
623	10710	6453
624	10725	6435
625	10741	6417
626	10760	6401
627	10774	6382
628	10787	6362
629	10802	6344
630	10814	6324
631	10826	6303
632	10838	6283
633	10853	6265
634	10867	6246
635	10881	6227
636	10893	6207
637	10904	6187
638	10917	6168
639	10931	6149
640	10944	6129
641	10959	6111
642	10979	6096
643	11001	6081
644	11028	6070
645	11048	6054
646	11064	6036
647	11080	6019
648	11108	6008
649	11125	5990
650	11138	5971
651	11152	5952
652	11167	5934
653	11181	5915
654	11196	5897
655	11210	5878
656	11227	5861
657	11242	5843
658	11256	5824
659	11270	5806
660	11287	5789
661	11301	5770
662	11317	5752
663	11331	5734
664	11347	5716
665	11362	5698
666	11377	5680
667	11391	5661
668	11406	5643
669	11421	5625
670	11434	5606
671	11447	5587
672	11461	5568
673	11475	5550
674	11487	5531
675	11500	5512
676	11515	5494
677	11533	5477
678	11553	5461
679	11569	5444
680	11583	5426
681	11600	5408
682	11618	5392
683	11636	5375
684	11652	5358
685	11670	5342
686	11690	5326
687	11709	5310
688	11726	5293
689	11743	5276
690	11761	5259
691	11776	5241
692	11792	5224
693	11807	5206
694	11822	5188
695	11838	5170
696	11852	5152
697	11864	5133
698	11876	5114
699	11892	5096
700	11906	5078
701	11921	5060
702	11934	5042
703	11948	5023
704	11960	5004
705	11973	4986
706	11988	4968
707	12002	4950
708	12018	4932
709	12031	4914
710	12044	4895
711	12058	4877
712	12074	4860
713	12093	4844
714	12108	4826
715	12124	4809
716	12138	4791
717	12153	4773
718	12167	4755
719	12182	4737
720	12197	4719
721	12212	4702
722	12228	4685
723	12242	4666
724	12256	4648
725	12269	4630
726	12285	4613
727	12299	4595
728	12313	4577
729	12329	4560
730	12343	4542
731	12357	4524
732	12371	4506
733	12384	4488
734	12397	4469
735	12412	4452
736	12424	4433
737	12437	4415
738	12449	4396
739	12462	4378
740	12476	4360
741	12489	4342
742	12500	4323
743	12515	4306
744	12531	4289
745	12547	4272
746	12563	4254
747	12579	4237
748	12594	4220
749	12611	4203
750	12628	4186
751	12644	4170
752	12660	4152
753	12675	4135
754	12692	4118
755	12709	4102
756	12726	4085
757	12744	4068
758	12761	4051
759	12778	4035
760	12796	4018
761	12814	4002
762	12830	3985
763	12847	3968
764	12862	3951
765	12879	3934
766	12894	3917
767	12911	3900
768	12926	3883
769	12942	3865
770	12959	3849
771	12976	3832
772	12993	3815
773	13009	3798
